Param Combination,wins(large_costs),avg_pbest(large_costs),avg_time(large_costs),wins(mid_costs_tight),avg_pbest(mid_costs_tight),avg_time(mid_costs_tight),wins(mid_nocosts_loose),avg_pbest(mid_nocosts_loose),avg_time(mid_nocosts_loose),wins(mid_nocosts_tight),avg_pbest(mid_nocosts_tight),avg_time(mid_nocosts_tight),wins(small_costs),avg_pbest(small_costs),avg_time(small_costs),wins(small_nocosts),avg_pbest(small_nocosts),avg_time(small_nocosts)
max_unimprove_iter:2_mutators:1_num_restarts:1_reaction_factor:1,0,0.866,152.94,0,0.796,66.462,1,0.93,66.716,0,0.859,68.02,7,0.977,19.957,6,0.952,18.509
max_unimprove_iter:2_mutators:1_num_restarts:2_reaction_factor:1,0,0.873,207.651,1,0.806,93.296,0,0.947,94.293,0,0.885,95.72,8,0.986,27.388,6,0.956,28.484
max_unimprove_iter:2_mutators:1_num_restarts:0_reaction_factor:2,0,0.765,53.118,0,0.741,21.117,0,0.895,21.904,0,0.816,20.625,4,0.953,5.084,2,0.896,6.053
max_unimprove_iter:2_mutators:1_num_restarts:1_reaction_factor:2,0,0.838,149.426,0,0.725,65.469,0,0.937,66.588,0,0.909,68.526,7,0.979,19.201,5,0.946,19.314
max_unimprove_iter:2_mutators:1_num_restarts:2_reaction_factor:2,0,0.852,208.334,1,0.83,91.359,0,0.947,95.546,0,0.913,93.523,7,0.978,27.203,8,0.961,28.118
max_unimprove_iter:3_mutators:0_num_restarts:0_reaction_factor:0,0,0.705,87.664,0,0.512,32.674,0,0.855,33.204,0,0.731,33.433,2,0.763,9.801,0,0.765,8.85
max_unimprove_iter:3_mutators:0_num_restarts:1_reaction_factor:0,0,0.729,248.808,0,0.555,108.544,0,0.876,113.618,0,0.744,110.266,2,0.754,33.473,0,0.787,33.829
max_unimprove_iter:3_mutators:0_num_restarts:2_reaction_factor:0,0,0.727,340.734,0,0.552,153.357,0,0.882,161.182,0,0.766,158.872,2,0.751,47.173,0,0.78,47.96
max_unimprove_iter:3_mutators:0_num_restarts:0_reaction_factor:1,0,0.688,81.132,0,0.512,33.046,0,0.844,33.584,0,0.706,33.665,2,0.747,9.689,0,0.716,9.022
max_unimprove_iter:3_mutators:0_num_restarts:1_reaction_factor:1,0,0.717,248.148,0,0.559,109.134,0,0.878,113.065,0,0.753,110.632,2,0.783,32.591,0,0.776,34.46
max_unimprove_iter:3_mutators:0_num_restarts:2_reaction_factor:1,0,0.755,344.848,0,0.584,153.012,0,0.883,163.214,0,0.757,156.24,2,0.769,47.672,0,0.772,47.322
max_unimprove_iter:3_mutators:0_num_restarts:0_reaction_factor:2,0,0.684,82.704,0,0.515,32.785,0,0.853,33.63,0,0.73,34.321,2,0.736,9.85,0,0.757,9.305
max_unimprove_iter:3_mutators:0_num_restarts:1_reaction_factor:2,0,0.717,248.819,0,0.576,109.776,0,0.888,113.311,0,0.743,109.276,2,0.762,32.713,0,0.78,33.985
max_unimprove_iter:3_mutators:0_num_restarts:2_reaction_factor:2,0,0.716,344.186,0,0.547,154.417,0,0.889,159.703,0,0.742,154.337,3,0.831,47.082,0,0.787,47.389
max_unimprove_iter:3_mutators:1_num_restarts:0_reaction_factor:0,0,0.775,83.295,0,0.698,36.59,0,0.894,32.643,0,0.842,35.59,5,0.929,9.659,5,0.887,9.37
max_unimprove_iter:3_mutators:1_num_restarts:1_reaction_factor:0,0,0.88,244.844,0,0.795,111.146,0,0.942,113.076,0,0.875,110.554,7,0.978,32.201,6,0.946,31.887
max_unimprove_iter:3_mutators:1_num_restarts:2_reaction_factor:0,0,0.895,342.696,0,0.829,154.025,0,0.955,160.421,0,0.909,155.765,6,0.971,44.807,7,0.956,46.058
max_unimprove_iter:3_mutators:1_num_restarts:0_reaction_factor:1,0,0.825,81.24,0,0.694,33.024,0,0.892,33.545,0,0.853,37.477,7,0.982,9.862,4,0.904,8.84
max_unimprove_iter:3_mutators:1_num_restarts:1_reaction_factor:1,1,0.884,244.69,0,0.798,108.994,1,0.936,113.891,1,0.934,109.833,7,0.978,31.512,7,0.974,32.516
max_unimprove_iter:3_mutators:1_num_restarts:2_reaction_factor:1,1,0.927,335.549,1,0.848,155.632,1,0.956,159.317,1,0.926,154.905,8,0.979,44.616,7,0.96,46.436
max_unimprove_iter:3_mutators:1_num_restarts:0_reaction_factor:2,0,0.824,86.395,0,0.721,35.379,0,0.91,34.29,0,0.864,35.44,6,0.955,10.047,3,0.914,8.59
max_unimprove_iter:3_mutators:1_num_restarts:1_reaction_factor:2,0,0.858,241.253,0,0.785,109.795,0,0.945,111.881,0,0.884,110.344,8,0.983,31.896,6,0.94,31.957
max_unimprove_iter:3_mutators:1_num_restarts:2_reaction_factor:2,1,0.905,347.789,0,0.793,153.856,1,0.959,161.815,0,0.903,153.928,9,0.988,43.969,7,0.956,46.329
max_unimprove_iter:4_mutators:0_num_restarts:0_reaction_factor:0,0,0.688,174.482,0,0.552,81.08,0,0.865,80.442,0,0.698,80.514,2,0.745,24.174,0,0.777,23.162
max_unimprove_iter:4_mutators:0_num_restarts:1_reaction_factor:0,0,0.75,603.855,0,0.563,269.622,0,0.874,284.255,0,0.759,270.905,2,0.787,83.247,0,0.787,82.434
max_unimprove_iter:4_mutators:0_num_restarts:2_reaction_factor:0,0,0.763,847.342,0,0.561,385.34,0,0.881,402.724,0,0.751,385.332,2,0.77,117.061,0,0.78,117.563
max_unimprove_iter:4_mutators:0_num_restarts:0_reaction_factor:1,0,0.699,186.621,0,0.522,79.523,0,0.836,82.015,0,0.731,80.38,2,0.738,22.77,0,0.768,24.593
max_unimprove_iter:4_mutators:0_num_restarts:1_reaction_factor:1,0,0.748,603.463,0,0.56,266.574,0,0.878,283.316,0,0.76,270.913,2,0.766,82.101,0,0.787,82.981
max_unimprove_iter:4_mutators:0_num_restarts:2_reaction_factor:1,0,0.754,847.703,0,0.572,388.963,0,0.884,405.814,0,0.753,389.257,2,0.756,117.219,0,0.78,117.214
max_unimprove_iter:4_mutators:0_num_restarts:0_reaction_factor:2,0,0.717,205.53,0,0.538,80.047,0,0.85,83.523,0,0.735,76.411,2,0.741,23.903,0,0.739,23.146
max_unimprove_iter:4_mutators:0_num_restarts:1_reaction_factor:2,0,0.736,607.499,0,0.56,271.277,0,0.877,277.966,0,0.758,271.341,2,0.787,82.418,0,0.792,82.034
max_unimprove_iter:4_mutators:0_num_restarts:2_reaction_factor:2,0,0.794,850.174,0,0.594,389.351,0,0.884,405.235,0,0.766,384.829,2,0.77,116.321,1,0.792,120.093
max_unimprove_iter:4_mutators:1_num_restarts:0_reaction_factor:0,0,0.835,189.286,0,0.726,83.403,1,0.923,80.006,0,0.869,78.883,7,0.977,22.338,7,0.943,23.842
max_unimprove_iter:4_mutators:1_num_restarts:1_reaction_factor:0,1,0.891,604.478,1,0.818,268.15,1,0.96,282.045,1,0.929,275.638,6,0.967,79.4,8,0.959,80.508
max_unimprove_iter:4_mutators:1_num_restarts:2_reaction_factor:0,2,0.939,852.631,0,0.842,374.315,0,0.964,399.064,0,0.896,384.863,7,0.978,112.11,7,0.96,113.44
max_unimprove_iter:4_mutators:1_num_restarts:0_reaction_factor:1,0,0.833,189.46,0,0.742,79.336,0,0.906,81.993,0,0.873,80.407,5,0.932,21.876,5,0.923,22.267
max_unimprove_iter:4_mutators:1_num_restarts:1_reaction_factor:1,1,0.928,594.088,0,0.83,266.041,2,0.95,280.959,0,0.897,267.781,6,0.976,80.737,9,0.986,81.059
max_unimprove_iter:4_mutators:1_num_restarts:2_reaction_factor:1,0,0.924,833.805,1,0.873,374.176,1,0.968,393.508,0,0.905,393.31,7,0.978,116.682,7,0.979,115.055
max_unimprove_iter:4_mutators:1_num_restarts:0_reaction_factor:2,0,0.85,194.566,0,0.691,78.69,0,0.917,81.117,0,0.871,76.9,8,0.969,23.028,5,0.926,22.624
max_unimprove_iter:4_mutators:1_num_restarts:1_reaction_factor:2,1,0.936,601.26,1,0.844,262.486,0,0.955,275.575,0,0.92,268.016,7,0.978,77.569,8,0.982,78.633
max_unimprove_iter:4_mutators:1_num_restarts:2_reaction_factor:2,0,0.928,840.534,0,0.849,373.624,0,0.951,392.122,0,0.911,391.879,7,0.973,111.668,9,0.999,113.59
